auction	rent_returned_sol	closed_by	signature
6bKzgKH9uFHZfdZSEDh3iSDZTzRHDjwQYXeTznYQ3vRJ	0.018328640	recovery run	39VziHAFV7qTXuUdBp9ywEzySMrwP62zKhXj7H8CU3EZ1zxgNQ9SBpLXLvvbSzMuK6R1QCGLhKReKTP9mAzBfdeX
6ctc94rBTYJcBF4oPCc3ZrKcPF5r92LMyXmT7d3d6E78	0.018328640	railway keeper	3oriYSGpymZfY1HsYjNVkrjSi3Z9B2eghpB9GfQpt1gPCa3dhLZdM2U7iY8TrrQfdFGvpUHKdBvUgBV1gjVBrnDt
6jry1eSbzwe6HX3fpDfuahMgx1LWaeASEqjuGjnDdDCV	0.018328640	recovery run	5d979RdtJK8f1CE273tL6gjrch2baR8psJ2YWyqrr91y3JZnVLrxqYSuxy9BXgKM69mSSKrnKiNRnsMiUK1pWMbJ
6v8Xa6DMGsH8s5V6HRbH77LRkyBszi1FhEf8eQe64age	0.018328640	railway keeper	3MwwRwoYkrr5GwU4PsMn7EAGzN6od8BvTqNCEu1Kjv57Ajs9Qsfz4gXHGX5ke3UPobLLMpRN8BzDuMRm9XfNjmSN
728yb8i2n4r4qYfMPigjvWC7ZqEZ8qJNDasN2emNeZr1	0.018328640	railway keeper	5L1ZvFJbkAdx3jjWqFJKKBPcMxV73vNdC3Nm5v4f54mXiBr62RCKrJ1u3XHRKbdAkhkDukxodWBjDgs3Lw9AbXga
7MHVh4LM8RHrxapnHQTT3AWCUA8NCUxJv23RJFUUVL2v	0.018328640	railway keeper	5DZKMUbYnYaNUx5JeLuGkogTNExaAQq9mmoQcS93ASwiufeCSuMJYfMfDbtgZ8wo6ZMEEyb6sLGvt92dySr7FxDX
7N2uHYmKkQNH65VpaiLABdQPwkdYmC6TDyjHwkEDndqJ	0.018328640	railway keeper	5Rvdg8itq5vrv7qbLbobwrHstRhvcJChCA5i9fcG7amiBwRHWHy3LEpVHQTvDmWGr6884qcCZptjHJAHBBTBepKt
7S28kBQZMW35z7KDhg29caf9a6GeXYtyLV5WtJmWx5Yb	0.018328640	recovery run	4oKFKPBehJMB7N2mPdHYvRvZKByjfEwD5SFakqxYysrLAMxN9T1rdXYHdAgNHWDCzpdvwSR8LPSudvj75198BGyz
7mojaDPCtCFf4zT5ywqi6NtTMZkN8YQFq5NQXBXzb4Cx	0.018328640	railway keeper	4GtVcak23BVWBBRGgU6UapgLkHyx7QwHK63wBx39Cw88kT4S3P5Co9jE2ZRG1B6PJ8Gj6PCC924BijvTw8bfv9w4
7tSHnZeRbUreekW8BeLRUxnaqxi2ejiid7dawnhnz96s	0.018328640	railway keeper	29n7sHk4PsxiK6ZGKHurH8Zk7c2dkMgspSZjctbHHMEdUjRbjgM1fbFVw5WWur2bh4Vp8NMrQs6TrbxsHtYWq1xg
8SeWZT34gRiowRNWhtYinj3kwatN7fV76xgfQVfSji29	0.018328640	recovery run	2mWXuk9v7CphKtvwW7ZtP9R8gGXA9NSh8CytD1PS5P4oQFnRc2tmz3USQRfDCpssBq2Hjy7rHQWozkWjrosN9krR
8XjufjCbQf36ZSxMPzv3K2uugvMBDWNDpEWsp7aY8mpi	0.018328640	railway keeper	Jb53D2anhcq557FjZcmeXpPp1pASib5gaZs1QTEmg6ET5nbejCGf9YWNvR7GYDNaBkzh3StwNF3eRykVNSpryHN
8hkv1SQxrkCgyJYLpFq7kSF5z6Jo41PBCKPH7xPdaRYH	0.018328640	railway keeper	3YiFSvAASDCHbyzeod1LfLKAN6JC6nAvRgowap38Z33KH6Z1RF6EGEig3ndRB6gJ124uEhbcsFmzFJEFZ1LUeRKz
8iytzkLDtu4dPKxk8CWkhUTdcAdGsBQ8VSXYZKYZFh52	0.018328640	railway keeper	5v9CRjuhgGLCvCmrCfV5C7nKCDJ12HHuqBodkGBfdnDZ9MF9XMDvaVEXB2sC14tBnYz1iciEpxt3CuSomWjvSaHL
8jDLerfufaxvWhLspBaQMX3FFuU5HxnD1CzfrYrZo3Rn	0.018328640	railway keeper	2pSxBpFQuoghjKYp6Kt3X1LesQ6Fan9oFwTnWTnEUhTA5bfnBYaiTavmWiCX9PqsTee4WfrrTrTj528Ycu6kbSuY
8ktokadwz987Zf8xzzpRi7GP8eDSSWL5h6qdFUv5fi6t	0.018328640	recovery run	5QgkS9dHU4i77imZ6FSKYBT66fVRhgnvv27zFgjXbuKCQfVYbfwxSVXD5TaiqN29CEryK4kqUvcb1DbjpyLNxqm3
8py5tYHKpQf8Ai6pxAp2dn4kx9XRkQVKYo3ARBtuB2U6	0.018328640	railway keeper	3aNCPHo4BbrvAL8zmXUfzn2p8ey3kdiTGeaTaYs4PeDmsk2ofyvW8UwVjgtj2X2dXvRmct7SN1xDxKSZM1rHbxdr
98ap2g2YPJ5mCU8gn765EwhVbEhgWtwoptRieZJCMa48	0.018328640	railway keeper	3kUUQY3ZruQL3JncGaGjhGYWZTHeARbm74yP2R3YVW2zWCf9dywkT1kqoLswt9SvXwvckCjKnw29hA9Ykr26VgsZ
9cj5aLWiJuTFnJVXybWnfz2GxTcYeHPeFVD7Cg2vgY5C	0.018328640	railway keeper	53mU94zmtsd3aBNbciNRYeRp2MBiwR7rosHNN2nZJHZSof4cj64JehBnRc6JmuMsaf6KRYUF33gCrNLbjxgLuUHp
9okvR3ZbzEkSLuVosuy8ZoA52FQzsY96WD6sbjvxZVN6	0.018328640	railway keeper	4JAUgbbkCS1SPeKyfNZn3dxkcj97CqCcYFkRUfTCH52D1JwYwy5rRoKGSytCx5x3XCoSVvQ4oooPNRvCYvCw3L5e
9rBSaGndZ48R5uD5p1AtATXVABBvzwJFydbdhWoWxBCZ	0.018328640	railway keeper	2vTEWT5U8EWqbD12kDuULLLAK4wTVgUuYswUfBGWwsEK3nhkYjGf2MELF19Xoogwo952M9NycAuhpzfdYA71DaTg
9wRnQmPUS7k6mya3GwDg7SmWjsahP2G5h7ceY6vgDX7g	0.018328640	railway keeper	3aSK2RRFpinwhEt8kgUCYwYH6b31AHUdQr8hj5aNExfuzfbYJ3BvdMz2LFuQfuuzdMva3TY6L4HP97jHQSAHz84J
A6uFj5ANPmyuj8ki9uDhSh1kHrn8a5cpszbc3DFEdgTJ	0.018328640	railway keeper	5vVDmP2JqjxBjEevHka9wBNStxS79JorKQfFKQ2yduvTD3ZDUaXngCBzUAWE8vSyXSMhV5sPBB16gwRAkzBJr2vo
